	Trigram	Frequency	Rank
0	('the', 'united', 'states')	1850	1
1	('one', 'of', 'the')	1728	2
2	('as', 'well', 'as')	1511	3
3	('part', 'of', 'the')	1318	4
4	('such', 'as', 'the')	1001	5
5	('the', 'solar', 'system')	828	6
6	('due', 'to', 'the')	825	7
7	('known', 'as', 'the')	808	8
8	('in', 'the', 'world')	789	9
9	('the', 'end', 'of')	756	10
10	"('the', 'earth', ""'s"")"	752	11
11	('the', 'soviet', 'union')	669	12
12	('of', 'the', 'universe')	661	13
13	('a', 'number', 'of')	656	14
14	"('the', 'world', ""'s"")"	650	15
15	('university', 'press', 'isbn')	648	16
16	('was', 'the', 'first')	621	17
17	('most', 'of', 'the')	608	18
18	('as', 'a', 'result')	602	19
19	('of', 'the', 'earth')	592	20
20	('according', 'to', 'the')	583	21
21	('end', 'of', 'the')	549	22
22	('in', 'order', 'to')	543	23
23	('of', 'the', 'sun')	535	24
24	('of', 'the', 'world')	534	25
25	('of', 'the', 'united')	507	26
26	('the', 'speed', 'of')	505	27
27	('some', 'of', 'the')	493	28
28	('the', 'development', 'of')	489	29
29	('the', 'use', 'of')	488	30
30	('of', 'the', 'moon')	484	31
31	('in', 'the', 'united')	473	32
32	('from', 'the', 'sun')	470	33
33	('on', 'the', 'moon')	467	34
34	('the', 'number', 'of')	466	35
35	('in', 'the', 'early')	463	36
36	('the', 'surface', 'of')	457	37
37	('referred', 'to', 'as')	445	38
38	('cambridge', 'university', 'press')	442	39
39	('the', 'milky', 'way')	440	40
40	('at', 'the', 'time')	439	41
41	('of', 'the', 'population')	435	42
42	('speed', 'of', 'light')	420	43
43	('based', 'on', 'the')	415	44
44	('a', 'result', 'of')	402	45
45	('because', 'of', 'the')	401	46
46	('is', 'one', 'of')	399	47
47	('a', 'series', 'of')	398	48
48	('to', 'be', 'the')	398	49
49	('of', 'the', 'first')	394	50
